order_no,topic,content
1,구성,이 파일은 OpenDataLoader 결과를 검수하기 위한 로컬 Grist 데이터베이스입니다. 문서→조항→도식·표→규칙→사례 순서로 관리합니다.
2,권장 작업 순서,1) 문서 정보 확인  2) 조항 원문 검수  3) 도식·표 구조 확인  4) 확정된 내용만 규칙·사례에 입력  5) 검수상태를 검수 완료로 변경합니다.
3,원문 원칙,"원문·원본JSON은 임의로 고치지 않습니다. 정리·해석한 내용은 정규화텍스트, 검수요약, 규칙, 사례 필드에 분리하여 기록합니다."
4,도식 처리,PDF 내부 이미지 추출은 복합 표·도식을 완전하게 보존하지 못할 수 있습니다. 필요하면 원본 PDF 페이지에서 전체 영역을 별도로 크롭하여 도식 테이블에 추가합니다.
5,표 처리,"표텍스트는 검색과 검토용, 표HTML·행JSON은 병합 셀과 원본 구조 확인용입니다. 자동 추출 표는 반드시 원본 PDF와 대조합니다."
6,검수상태,자동 추출 → 수정 필요 또는 검수 완료로 변경합니다. 중복·장식 이미지와 불필요 요소는 제외로 표시합니다.
7,파일 관리,원본 PDF와 고유 이미지가 Grist 파일에 포함되어 있습니다. JSON·Markdown 원본은 기존 작업 폴더에 유지하고 경로를 문서 테이블에 기록했습니다.
8,주의,규칙·사례 테이블은 사람 검수 후 입력하도록 비워 두었습니다. 법령·지침 판정은 자동 추출값만으로 확정하지 마십시오.
9,시각자료 구성,"도식 테이블에는 OpenDataLoader 이미지, PDF 고유 이미지, 페이지 배치 이미지, 표 크롭, 복합 도식, 전체 페이지 렌더링이 함께 저장됩니다. 유형 필터로 필요한 자료만 표시하십시오."
10,이미지 연결,표 테이블의 표이미지 열은 PDF 렌더링 기반 크롭과 연결됩니다. 도식의 연결표 열로 같은 이미지를 표 레코드와 교차 확인할 수 있습니다.
11,재생성,원본 PDF 또는 JSON이 바뀌면 scripts/rebuild_visuals_and_grist.py를 실행하고 scripts/validate_workspace.py로 검증하십시오.
