clause_id,document_id,parent_clause_id,chapter,section,clause_number,clause_title,start_page,end_page,raw_text,normalized_text,summary,content_type,source_element_ids,review_status,review_memo
LAW1-1_1_1,LAW1,,제1장 총 칙,제1절 목 적,1-1-1,,1,1,1-1-1. 이 기준은 「서울특별시 안심주택 공급 지원에 관한 조례」(이하 “안심주택 조례”라 한다)에서 위임하는 사항과 그 시행에 필요한 사항을 규정함을 목적 으로 한다.,1-1-1. 이 기준은 「서울특별시 안심주택 공급 지원에 관한 조례」(이하 “안심주택 조례”라 한다)에서 위임하는 사항과 그 시행에 필요한 사항을 규정함을 목적 으로 한다.,,기준,LAW1-E1607,자동 추출,
LAW1-1_2_1,LAW1,,제1장 총 칙,제2절 적용범위 및 원칙,1-2-1,,1,1,"1-2-1. 이 기준은 청년․어르신․신혼부부 또는 1인가구를 입주대상으로 사업계획
을 수립하는 경우에 적용한다.",1-2-1. 이 기준은 청년․어르신․신혼부부 또는 1인가구를 입주대상으로 사업계획 을 수립하는 경우에 적용한다.,,기준,"LAW1-E1609,LAW1-E1610",자동 추출,
LAW1-1_2_2,LAW1,,제1장 총 칙,제2절 적용범위 및 원칙,1-2-2,,1,1,"1-2-2. 안심주택(안심주택 조례 제2장을 따른다) 사업계획 수립 시 「공공주택 특 별법」(이하 “공공주택법”이라 한다), 「민간임대주택에 관한 특별법」(이하 “민간임대주택법”이라 한다), 「국토의 계획 및 이용에 관한 법률」(이하 “국 토계획법”이라 한다), 「주택법」, 「건축법」 및 다른 법령 등에 특별한 규 정이 있는 경우를 제외하고는 이 기준이 정하는 바에 따른다.","1-2-2. 안심주택(안심주택 조례 제2장을 따른다) 사업계획 수립 시 「공공주택 특 별법」(이하 “공공주택법”이라 한다), 「민간임대주택에 관한 특별법」(이하 “민간임대주택법”이라 한다), 「국토의 계획 및 이용에 관한 법률」(이하 “국 토계획법”이라 한다), 「주택법」, 「건축법」 및 다른 법령 등에 특별한 규 정이 있는 경우를 제외하고는 이 기준이 정하는 바에 따른다.",,기준,LAW1-E1611,자동 추출,
LAW1-1_3_1,LAW1,,제1장 총 칙,제3절 용어의 정의,1-3-1,,1,2,"1-3-1. “대중교통 중심지역”이란 안심주택 조례 제2조제1호의 지역으로 지하철 및 버스 등 대중교통의 편리한 이용이 가능한 지역으로 다음 각 목의 어느 하나 를 말한다.
가. “역세권”이란 안심주택 조례 제2조제1호 가목의 지역을 말하며, 지하철, 국 철 및 경전철 등의 역(개통이 예정된 역을 포함한다)의 각 승강장 경계로부터 직각으로 250미터 이내의 지역을 말한다. 서울특별시장(이하 ‘시장’이라 한
다)은 다음 어느 하나에 해당하는 경우 안심주택 조례 제20조에 따른 공공지 원민간임대주택 통합심의위원회의 심의를 거쳐 역의 각 승강장 경계 및 출입 구로부터 350미터 이내의 토지를 사업대상지로 지정할 수 있다. 이 경우 용 도지역 변경에 관한 사항도 350미터를 기준으로 한다.
1) 승강장 위치가 도로의 선형과 일치하지 않는 역의 경우(해당역은 충무로역, 신이문역, 왕십리역, 길음역, 신금호역, 신도림역, 신길역, 동작역, 개화산 역, 발산역, 종합운동장역, 일원역, 구룡역, 양재시민의숲역을 말한다)
[일반적인 경우]
역세권
범위
25Om
25Om
승강장
승강장 경계
[승강장이 도로선형과 일치하지 않는 경우]
역세권
25Om
범위
25Om
지하철 출입구 _
25Om
25Om
25Om
승강장
25Om
승강장 경계
지하철 출입구
2) 주변지역 여건을 고려하여 사업추진이 필요하다고 인정되는 경우
3) 개통이 예정된 역이란 지하철, 국철 및 경전철 등의 역으로서 재정사업은 사업계획이 승인된 경우, 민자사업은 사업시행자가 지정된 경우를 말한다.
나. “간선도로변”이란 안심주택 조례 제2조제1호나목의 지역을 말하며, 도로법 제14조(특별시도의 지정 ⸱ 고시)에 따라 고시 ⸱ 운영 중인 특별시도 중 1-3-1.가 목의 역세권 외부에 위치한 폭 20m 이상의 주간선도로, 보조간선도로의 경 계로부터 직각으로 50m 이내의 지역을 말한다.(도시고속도로는 제외한다)
[간선도로변]
간선 도로변
5Om ;'
역세권
간선 도로변
25Om
5Om
25Om
승강장
간선도로(2Om이상)
5Om
(2Om
간선 도로변
이상)","1-3-1. “대중교통 중심지역”이란 안심주택 조례 제2조제1호의 지역으로 지하철 및 버스 등 대중교통의 편리한 이용이 가능한 지역으로 다음 각 목의 어느 하나 를 말한다. 가. “역세권”이란 안심주택 조례 제2조제1호 가목의 지역을 말하며, 지하철, 국 철 및 경전철 등의 역(개통이 예정된 역을 포함한다)의 각 승강장 경계로부터 직각으로 250미터 이내의 지역을 말한다. 서울특별시장(이하 ‘시장’이라 한 다)은 다음 어느 하나에 해당하는 경우 안심주택 조례 제20조에 따른 공공지 원민간임대주택 통합심의위원회의 심의를 거쳐 역의 각 승강장 경계 및 출입 구로부터 350미터 이내의 토지를 사업대상지로 지정할 수 있다. 이 경우 용 도지역 변경에 관한 사항도 350미터를 기준으로 한다. 1) 승강장 위치가 도로의 선형과 일치하지 않는 역의 경우(해당역은 충무로역, 신이문역, 왕십리역, 길음역, 신금호역, 신도림역, 신길역, 동작역, 개화산 역, 발산역, 종합운동장역, 일원역, 구룡역, 양재시민의숲역을 말한다) [일반적인 경우] 역세권 범위 25Om 25Om 승강장 승강장 경계 [승강장이 도로선형과 일치하지 않는 경우] 역세권 25Om 범위 25Om 지하철 출입구 _ 25Om 25Om 25Om 승강장 25Om 승강장 경계 지하철 출입구 2) 주변지역 여건을 고려하여 사업추진이 필요하다고 인정되는 경우 3) 개통이 예정된 역이란 지하철, 국철 및 경전철 등의 역으로서 재정사업은 사업계획이 승인된 경우, 민자사업은 사업시행자가 지정된 경우를 말한다. 나. “간선도로변”이란 안심주택 조례 제2조제1호나목의 지역을 말하며, 도로법 제14조(특별시도의 지정 ⸱ 고시)에 따라 고시 ⸱ 운영 중인 특별시도 중 1-3-1.가 목의 역세권 외부에 위치한 폭 20m 이상의 주간선도로, 보조간선도로의 경 계로부터 직각으로 50m 이내의 지역을 말한다.(도시고속도로는 제외한다) [간선도로변] 간선 도로변 5Om ;' 역세권 간선 도로변 25Om 5Om 25Om 승강장 간선도로(2Om이상) 5Om (2Om 간선 도로변 이상)",,표/도식 포함,"LAW1-E1613,LAW1-E1614,LAW1-E1615,LAW1-E1616,LAW1-E1617,LAW1-E1620,LAW1-E1622,LAW1-E1625,LAW1-E1626,LAW1-E1631,LAW1-E1633,LAW1-E1636,LAW1-E1618,LAW1-E1619,LAW1-E1621,LAW1-E1624,LAW1-E1623,LAW1-E1629,LAW1-E1628,LAW1-E1627,LAW1-E1630,LAW1-E1632,LAW1-E1634,LAW1-E1635,LAW1-E1637,LAW1-E1638,LAW1-P002-LIST-0037,LAW1-E1641,LAW1-E1643,LAW1-E1642,LAW1-E1644,LAW1-E1645,LAW1-E1646,LAW1-E1647,LAW1-E1648,LAW1-E1649,LAW1-E1651,LAW1-E1650,LAW1-E1652,LAW1-E1653,LAW1-E1654,LAW1-E1655,LAW1-E1656",자동 추출,
LAW1-1_3_2,LAW1,,제1장 총 칙,제3절 용어의 정의,1-3-2,,3,3,"1-3-2. “의료시설 중심지역”이란 안심주택 조례 제2조제2호의 지역으로 의료시설 대상부지 경계로부터 350미터 이내의 지역으로 다음 각 목의 어느 하나를 말한다.
가. 의료법 제3조에 따른 종합병원
나. 의료법 제3조에 따른 병원 중 서울특별시가 관리하는 시립병원
다. 지역보건법 제2조에 따른 보건소
미표시신",1-3-2. “의료시설 중심지역”이란 안심주택 조례 제2조제2호의 지역으로 의료시설 대상부지 경계로부터 350미터 이내의 지역으로 다음 각 목의 어느 하나를 말한다. 가. 의료법 제3조에 따른 종합병원 나. 의료법 제3조에 따른 병원 중 서울특별시가 관리하는 시립병원 다. 지역보건법 제2조에 따른 보건소 미표시신,,표/도식 포함,"LAW1-E1657,LAW1-P003-LIST-0055,LAW1-E1661,LAW1-E1662",자동 추출,
LAW1-1_3_3,LAW1,,제1장 총 칙,제3절 용어의 정의,1-3-3,,3,3,"1-3-3. “안심주택”이란 청년․어르신․신혼부부․1인가구 중 입주대상을 단독 또는 복합으로 공급하는 주택을 말한다. 이 때 청년은 안심주택 조례 제2조제3호, 신혼부부는 안심주택 조례 제2조제4호, 어르신은 안심주택 조례 제2조제5 호, 1인가구는 안심주택 조례 제2조제6호의 자격을 따른다.","1-3-3. “안심주택”이란 청년․어르신․신혼부부․1인가구 중 입주대상을 단독 또는 복합으로 공급하는 주택을 말한다. 이 때 청년은 안심주택 조례 제2조제3호, 신혼부부는 안심주택 조례 제2조제4호, 어르신은 안심주택 조례 제2조제5 호, 1인가구는 안심주택 조례 제2조제6호의 자격을 따른다.",,정의,LAW1-P003-LIST-0058,자동 추출,
LAW1-1_3_4,LAW1,,제1장 총 칙,제3절 용어의 정의,1-3-4,,3,3,"1-3-4. “서울형 공유주택”이란 안심주택 중 입주대상을 1인가구로 공급하는 주택으 로 조례 제2조제7호다목에 해당되는 주택을 말하며, 제3장의 기준을 따른 다.","1-3-4. “서울형 공유주택”이란 안심주택 중 입주대상을 1인가구로 공급하는 주택으 로 조례 제2조제7호다목에 해당되는 주택을 말하며, 제3장의 기준을 따른 다.",,정의,LAW1-P003-LIST-0058,자동 추출,
LAW1-1_3_5,LAW1,,제1장 총 칙,제3절 용어의 정의,1-3-5,,3,3,"1-3-5. “복합주택”이란 안심주택 중 1-3-3과 1-3-4의 주택을 하나의 대지에 복합 하여 건축하는 경우를 말하며, 제4장의 기준을 따른다.","1-3-5. “복합주택”이란 안심주택 중 1-3-3과 1-3-4의 주택을 하나의 대지에 복합 하여 건축하는 경우를 말하며, 제4장의 기준을 따른다.",,정의,LAW1-P003-LIST-0058,자동 추출,
LAW1-1_3_6,LAW1,,제1장 총 칙,제3절 용어의 정의,1-3-6,,3,3,"1-3-6. “공공임대주택”이란 안심주택 조례 제2조제7호 가목의 주택으로써, 서울주 택도시공사(이하 ‘SH공사’라 한다)가 사업시행자 전체 주택 연면적의 30% 이내에서 매입하여 공급 할 수 있다. 다만, 서울형 공유주택은 SH공사에서 매입하는 것을 제외한다.","1-3-6. “공공임대주택”이란 안심주택 조례 제2조제7호 가목의 주택으로써, 서울주 택도시공사(이하 ‘SH공사’라 한다)가 사업시행자 전체 주택 연면적의 30% 이내에서 매입하여 공급 할 수 있다. 다만, 서울형 공유주택은 SH공사에서 매입하는 것을 제외한다.",,정의,LAW1-P003-LIST-0058,자동 추출,
LAW1-1_3_7,LAW1,,제1장 총 칙,제3절 용어의 정의,1-3-7,,4,4,"1-3-7. “공공지원민간임대주택”이란 안심주택 조례 제2조제7호 나목의 주택으로써, 촉진지구에서 건설·공급되는 전체 주택 호수의 50% 이상으로 계획하여야 한 다. 공공지원민간임대주택 중 일반공급주택과 특별공급주택 공급비율은 민간 임대주택법에 따른다.","1-3-7. “공공지원민간임대주택”이란 안심주택 조례 제2조제7호 나목의 주택으로써, 촉진지구에서 건설·공급되는 전체 주택 호수의 50% 이상으로 계획하여야 한 다. 공공지원민간임대주택 중 일반공급주택과 특별공급주택 공급비율은 민간 임대주택법에 따른다.",,정의,LAW1-P004-LIST-0059,자동 추출,
